,Market,Arrival Date,Variety,Arrivals (Tonnes),Minimum Price(Rs./Quintal),Maximum Price(Rs./Quintal),Modal Price(Rs./Quintal)
0,Bagepalli,2/1/2016,Tomato,6.0,1000,1800,1550
1,Bagepalli,4/1/2016,Tomato,6.0,900,1800,1550
2,Bagepalli,5/1/2016,Tomato,6.0,1400,2500,2200
3,Bagepalli,6/1/2016,Tomato,4.0,1400,3000,2400
4,Bagepalli,7/1/2016,Tomato,5.0,1400,2600,2200
5,Bagepalli,11/1/2016,Tomato,5.0,1400,2800,2200
6,Bagepalli,12/1/2016,Tomato,6.0,1500,2400,2000
7,Bagepalli,13/01/2016,Tomato,7.0,1400,2600,2200
8,Bagepalli,14/01/2016,Tomato,7.0,1200,2200,2000
9,Bagepalli,16/01/2016,Tomato,5.0,1200,2200,1800
10,Bagepalli,18/01/2016,Tomato,6.0,1200,2200,1800
11,Bagepalli,19/01/2016,Tomato,7.0,1200,2000,1700
12,Bagepalli,20/01/2016,Tomato,7.0,1000,2000,1600
13,Bagepalli,21/01/2016,Tomato,6.0,900,2200,1800
14,Bagepalli,22/01/2016,Tomato,3.0,1200,1800,1500
15,Bagepalli,23/01/2016,Tomato,7.0,1000,2200,1800
16,Bagepalli,25/01/2016,Tomato,6.0,1000,2000,1600
17,Bangarpet,1/1/2016,Tomato,1.0,500,3200,2800
18,Bangarpet,4/1/2016,Tomato,1.0,830,3800,2800
19,Bangarpet,5/1/2016,Tomato,1.0,600,3900,2900
20,Bangarpet,23/01/2016,Tomato,1.0,400,1500,1000
21,Bangarpet,25/01/2016,Tomato,1.0,400,1300,1000
22,"Binny Mill (F&V), Bangalore",1/1/2016,Tomato,51.0,2800,3400,3200
23,"Binny Mill (F&V), Bangalore",2/1/2016,Tomato,49.0,3400,3800,3600
24,"Binny Mill (F&V), Bangalore",4/1/2016,Tomato,57.0,3800,4200,4000
25,"Binny Mill (F&V), Bangalore",5/1/2016,Tomato,27.0,4000,4500,4300
26,"Binny Mill (F&V), Bangalore",6/1/2016,Tomato,56.0,4000,4500,4300
27,"Binny Mill (F&V), Bangalore",7/1/2016,Tomato,42.0,3500,4500,4000
28,"Binny Mill (F&V), Bangalore",8/1/2016,Tomato,52.0,3500,4500,4000
29,"Binny Mill (F&V), Bangalore",11/1/2016,Tomato,49.0,2500,3000,2800
30,"Binny Mill (F&V), Bangalore",12/1/2016,Tomato,48.0,2000,2500,2300
31,"Binny Mill (F&V), Bangalore",13/01/2016,Tomato,49.0,2500,3000,2800
32,"Binny Mill (F&V), Bangalore",14/01/2016,Tomato,50.0,2000,2500,2200
33,"Binny Mill (F&V), Bangalore",16/01/2016,Tomato,35.0,2000,2200,2100
34,"Binny Mill (F&V), Bangalore",18/01/2016,Tomato,43.0,1800,2200,2000
35,"Binny Mill (F&V), Bangalore",19/01/2016,Tomato,48.0,1600,2000,1800
36,"Binny Mill (F&V), Bangalore",20/01/2016,Tomato,47.0,1500,1700,1600
37,"Binny Mill (F&V), Bangalore",21/01/2016,Tomato,50.0,1200,1500,1300
38,"Binny Mill (F&V), Bangalore",23/01/2016,Tomato,54.0,1000,1400,1200
39,"Binny Mill (F&V), Bangalore",25/01/2016,Tomato,48.0,700,1000,800
40,Channapatana,1/1/2016,Tomato,1.0,2800,3200,3000
41,Channapatana,2/1/2016,Tomato,1.0,2600,3000,2800
42,Channapatana,4/1/2016,Tomato,1.0,2000,2600,2300
43,Channapatana,5/1/2016,Tomato,1.0,4800,5000,4900
44,Channapatana,9/1/2016,Tomato,1.0,4000,4400,4200
45,Channapatana,11/1/2016,Tomato,1.0,3500,4500,4000
46,Channapatana,12/1/2016,Tomato,1.0,3000,4000,3500
47,Channapatana,13/01/2016,Tomato,1.0,3000,4000,3500
48,Channapatana,14/01/2016,Tomato,1.0,2500,4000,3250
49,Channapatana,18/01/2016,Tomato,1.0,2400,2800,2600
50,Channapatana,19/01/2016,Tomato,1.0,2000,2500,2250
51,Channapatana,20/01/2016,Tomato,1.0,800,1200,1000
52,Channapatana,21/01/2016,Tomato,2.0,1000,2000,1500
53,Channapatana,22/01/2016,Tomato,1.0,800,1200,1000
54,Channapatana,23/01/2016,Tomato,2.0,1000,1400,1200
55,Channapatana,25/01/2016,Tomato,2.0,800,1000,900
56,Chickkaballapura,1/1/2016,Tomato,13.0,700,3600,2800
57,Chickkaballapura,2/1/2016,Tomato,11.0,700,3800,3000
58,Chickkaballapura,3/1/2016,Tomato,10.0,700,4500,3800
59,Chickkaballapura,4/1/2016,Tomato,10.0,800,5000,3800
